epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63863,1.64926,3.31751,1.38131,0.01119,0.84091,0.44891,0.2826,1.22961,3.00805,0.99132,0.00013336,0.00013336,0.00013336
2,15.4435,1.47959,2.20884,1.19285,0.95598,0.5,0.48351,0.3027,1.28653,1.84829,0.92822,0.000280584,0.000280584,0.000280584
3,23.9487,1.39922,1.18886,1.15122,0.95865,0.5,0.47937,0.2885,1.28432,1.85269,0.97871,0.000424838,0.000424838,0.000424838
4,32.954,1.29491,1.00139,1.1166,0.95857,0.5,0.53036,0.37404,1.05011,1.76591,0.9113,0.000566122,0.000566122,0.000566122
5,42.2578,1.27206,0.97874,1.11296,0.95587,0.5,0.90093,0.53576,1.113,1.33082,0.95074,0.000704434,0.000704434,0.000704434
6,51.5058,1.30727,0.96581,1.11458,0.95549,0.5,0.95264,0.53657,1.11342,1.0877,1.0286,0.000839776,0.000839776,0.000839776
7,60.4574,1.22791,0.88104,1.11314,0.93304,0.5,0.93708,0.58966,1.02162,0.97553,1.02047,0.000972148,0.000972148,0.000972148
8,69.4567,1.24304,0.88048,1.11138,0.90154,0.56344,0.88393,0.5071,1.03213,1.04837,1.06499,0.00110155,0.00110155,0.00110155
9,78.39,1.25269,0.85826,1.12786,0.8954,0.56514,0.92133,0.56554,1.06645,1.03759,1.09215,0.00122798,0.00122798,0.00122798
10,87.2508,1.23415,0.85386,1.10949,0.95263,0.65909,0.85528,0.48898,1.09235,1.10831,1.07146,0.00135144,0.00135144,0.00135144
11,96.3688,1.26722,0.85302,1.13321,0.95517,0.67732,0.96679,0.51965,1.16062,1.04946,1.07756,0.00147193,0.00147193,0.00147193
12,105.452,1.20346,0.83546,1.12512,0.89491,0.90909,0.95659,0.57612,1.01778,0.99318,1.04635,0.00148546,0.00148546,0.00148546
13,114.458,1.22819,0.80745,1.14078,0.8895,1,0.97618,0.57032,1.19739,0.75145,1.16293,0.00146896,0.00146896,0.00146896
14,123.412,1.19357,0.78962,1.10002,0.95604,0.93123,0.97124,0.60161,0.94979,0.70975,1.06787,0.00145246,0.00145246,0.00145246
15,132.372,1.2195,0.81118,1.12322,0.94881,0.95455,0.96746,0.52036,1.2572,1.03913,1.19614,0.00143595,0.00143595,0.00143595
16,141.541,1.22336,0.78223,1.11387,0.83402,0.65909,0.9061,0.51386,1.29082,1.11671,1.31155,0.00141945,0.00141945,0.00141945
17,150.504,1.17347,0.72412,1.09315,0.88281,0.83033,0.95401,0.53786,1.26462,0.9914,1.23995,0.00140295,0.00140295,0.00140295
18,159.652,1.14099,0.7263,1.06611,0.92947,0.97727,0.97344,0.58082,0.99919,0.80254,1.07766,0.00138644,0.00138644,0.00138644
19,168.751,1.1343,0.70638,1.09131,0.94933,1,0.99093,0.60207,1.0503,0.69297,1.09359,0.00136994,0.00136994,0.00136994
20,178.09,1.12075,0.71332,1.08325,0.91026,0.97727,0.96588,0.59924,0.88555,0.64682,1.03765,0.00135344,0.00135344,0.00135344
21,187.155,1.09415,0.67973,1.06716,0.91042,0.97727,0.97809,0.59112,0.93957,0.6063,1.0859,0.00133693,0.00133693,0.00133693
